,,,Totals, ,01/03/22, ,01/04/22, ,01/05/22, ,01/06/22, ,01/07/22, ,01/08/22, ,01/09/22, ,01/10/22, ,01/11/22, ,01/12/22, ,01/01/23, ,01/02/23, ,01/03/23, ,01/04/23, ,01/05/23, ,01/06/23, ,01/07/23, ,01/08/23, ,01/09/23, ,01/10/23, ,01/11/23, ,01/12/23, ,01/01/24, ,01/02/24, ,01/03/24, ,01/04/24, ,01/05/24, ,01/06/24, ,01/07/24, ,01/08/24, ,01/09/24, ,01/10/24, ,01/11/24, ,01/12/24, ,01/01/25, ,01/02/25, ,01/03/25, ,01/04/25, ,01/05/25, ,01/06/25, ,01/07/25, ,01/08/25, ,01/09/25, ,01/10/25, ,01/11/25, ,01/12/25, ,01/01/26, ,01/02/26, ,01/03/26, ,01/04/26, 
Product Code,Product Description,Department,< Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%)
11137,BULK PORK NECK STEAK,2,4 988.591,1.90,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,54.595,0.94,174.822,4.41,185.835,4.15,107.432,3.47,117.984,2.94,186.012,2.93,118.684,2.74,161.723,3.92,179.824,2.65,311.176,4.17,263.528,4.16,182.870,2.78,192.041,4.82,147.420,3.89,279.823,3.25,218.424,4.62,280.257,5.57,251.512,3.30,220.636,3.21,161.237,3.73,151.268,3.31,315.770,2.68,163.721,2.95,208.256,2.65,162.440,2.52,125.519,2.14,65.782,0.80,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
34289,PORK STEWING,2,4 695.103,1.69,189.796,7.78,224.934,9.24,203.944,10.34,193.883,8.24,223.408,7.47,212.048,7.39,165.241,5.13,156.607,5.48,122.675,4.87,78.210,1.52,77.060,1.93,66.898,1.60,86.357,1.62,119.602,2.55,58.009,1.40,48.406,1.27,75.479,1.77,76.243,1.58,66.690,0.90,55.888,0.82,79.214,1.12,80.136,0.79,76.178,1.26,65.781,1.07,80.977,1.00,100.173,1.50,98.182,1.26,87.363,1.17,85.873,1.19,91.069,1.09,100.622,1.26,101.602,1.30,108.378,1.14,84.888,0.68,98.383,1.27,202.291,-0.13,196.653,0.44,150.368,2.17,239.657,1.15,65.937,0.04,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
99990201,BUTCHERY 15%,2,4 690.000,1.23,31.000,6.15,28.000,0.88,11.000,0.70,3.000,0.44,829.000,2.42,223.000,0.63,45.000,2.52,18.000,1.10,6.000,1.58,175.000,4.42,18.000,-0.16,489.000,5.47,136.000,4.06,18.000,1.14,197.000,1.25,22.000,0.54,-1.000,-0.17,22.000,0.73,1.000,-0.08,226.000,1.50,24.000,0.37,31.000,0.44,386.000,1.27,212.000,0.79,32.000,0.92,47.000,1.94,44.000,1.53,23.000,0.55,29.000,0.47,4.000,0.04,27.000,0.41,21.000,0.87,16.000,0.56,113.000,2.52,2.000,0.17,615.000,2.44,38.000,1.03,17.000,0.89,23.000,0.60,11.000,0.57,20.000,1.00,40.000,0.48,16.000,0.61,18.000,0.49,16.000,0.48,273.000,3.41,35.000,0.20,25.000,1.12,20.000,0.36,15.000,0.52
53487,STEAK PACK,2,4 653.595,2.10,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,60.038,2.17,141.036,3.82,129.916,3.66,156.444,3.96,173.928,3.96,131.592,3.05,254.806,3.32,126.916,2.20,134.315,2.46,135.949,2.59,123.904,3.57,177.522,4.51,154.762,3.99,111.956,2.80,200.396,3.57,140.756,2.92,183.818,3.15,171.667,2.53,195.252,2.87,83.374,1.74,136.811,2.32,260.518,3.36,179.642,3.72,146.603,2.56,84.226,1.83,50.952,0.83,58.704,1.20,56.806,1.24,108.724,2.24,56.632,1.41,134.562,2.41,114.908,3.20,103.800,2.57,122.316,3.18,50.044,2.77
34200,BULK GRABOUW BOEREWORS,2,4 403.585,1.72,39.772,1.19,63.364,1.69,56.106,1.72,47.990,1.53,78.636,1.98,72.866,1.91,66.370,1.55,59.851,1.57,54.294,1.36,94.514,1.27,77.063,2.07,61.176,1.91,94.797,2.25,95.170,2.08,70.357,2.52,55.406,1.99,70.441,1.59,70.510,1.65,104.862,2.10,80.440,1.76,84.642,1.78,158.171,2.35,93.026,3.01,77.871,1.56,97.924,1.68,95.159,1.96,96.412,1.36,118.914,1.74,94.464,1.45,98.458,1.30,124.945,1.27,102.832,1.87,131.910,1.78,154.379,1.50,88.208,1.93,72.960,1.41,134.022,1.93,91.670,1.58,129.375,2.16,106.962,1.69,93.539,1.60,81.158,1.54,75.032,1.55,78.176,1.43,88.199,1.91,128.651,1.93,82.508,1.79,80.138,1.52,86.477,1.07,43.418,1.04
34297,SAAGSELS,2,4 276.848,0.40,156.155,0.31,159.697,0.70,97.017,0.74,102.540,0.81,87.721,0.54,118.717,0.77,105.753,0.61,109.994,0.71,82.497,0.53,145.931,0.57,123.058,0.95,97.195,0.71,116.255,0.67,121.362,0.70,100.047,0.64,72.495,0.45,95.754,0.52,93.613,0.55,66.845,0.34,69.891,0.38,76.033,0.40,92.998,0.34,58.871,0.36,71.893,0.43,120.570,0.56,72.254,0.40,80.146,0.38,71.875,0.36,73.015,0.38,76.065,0.34,80.935,0.38,64.398,0.31,70.075,0.28,76.804,0.23,74.996,0.36,55.058,0.23,90.109,0.34,80.871,0.31,106.805,0.37,62.119,0.23,75.975,0.27,88.741,0.31,68.395,0.30,65.638,0.26,62.115,0.26,84.667,0.25,51.738,0.24,48.107,0.25,49.403,0.23,3.642,0.03
44450,BULK WILTSHIRE PORK SAUSAGE,2,4 265.738,1.34,0.000,0.00,0.000,0.00,2.118,0.04,20.066,0.36,46.056,0.64,84.728,1.23,82.438,1.40,61.702,1.31,79.697,2.22,98.434,1.56,68.398,3.97,46.346,1.28,81.694,1.73,67.845,1.43,80.408,1.97,90.268,1.88,95.361,2.01,98.039,2.22,80.837,2.21,48.378,1.50,53.827,1.51,101.820,2.02,49.934,1.22,70.158,1.18,62.172,0.80,54.168,0.84,99.560,1.32,85.232,1.18,97.108,1.40,104.002,1.29,131.578,1.76,109.480,1.56,139.334,1.52,156.100,1.24,130.859,1.67,150.838,1.70,116.701,1.18,122.334,1.23,131.999,1.21,120.944,1.55,101.402,1.47,112.883,1.27,69.898,-0.04,139.030,0.53,95.112,1.22,155.227,1.53,92.360,1.40,67.301,0.96,63.830,0.85,47.734,1.23
58339,YOH FLAVA BBQ,2,4 161.000,0.23,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,57.000,0.16,128.000,0.32,122.000,0.32,175.000,0.47,263.000,0.58,120.000,0.20,138.000,0.37,76.000,0.18,104.000,0.22,63.000,0.13,299.000,0.58,274.000,0.58,221.000,0.45,319.000,0.62,319.000,0.79,288.000,0.63,232.000,0.54,223.000,0.37,204.000,0.53,210.000,0.61,221.000,0.60,105.000,0.55
34189,GRABOUW BOEREWORS,2,4 053.194,2.23,54.817,2.33,67.050,2.62,60.960,2.75,51.527,2.38,71.869,2.61,54.353,2.06,66.966,2.26,81.288,2.84,61.416,2.04,92.104,1.88,86.402,3.69,59.911,3.11,72.553,2.88,94.706,3.15,64.742,3.09,44.562,2.10,68.275,1.94,71.554,2.06,101.576,2.50,79.744,2.14,83.510,2.52,131.736,2.96,88.194,3.45,76.815,2.38,109.605,2.45,79.641,2.10,83.663,1.90,87.822,1.84,79.448,1.81,82.402,1.76,94.897,1.64,88.650,2.38,98.288,2.06,124.176,1.39,65.538,2.01,75.429,2.04,115.091,2.02,90.737,2.30,115.222,2.41,100.481,1.67,80.759,2.32,66.109,1.77,85.997,2.46,79.532,2.02,77.160,2.25,91.477,1.88,76.736,2.32,64.292,1.55,108.271,2.28,45.141,1.85
34202,1/4 MUTTON,2,3 589.126,1.33,109.100,2.65,243.709,5.37,51.248,1.81,22.546,0.53,136.865,2.21,69.448,1.21,35.058,0.42,86.793,0.80,77.332,1.44,337.642,5.19,70.643,2.60,28.389,1.04,51.404,1.65,41.191,0.99,119.182,1.88,70.518,1.54,117.250,3.33,46.688,1.99,20.006,0.83,15.480,0.70,36.954,1.32,135.560,3.23,8.990,0.31,64.700,2.30,73.896,2.06,19.520,0.66,35.568,1.02,38.388,1.15,0.000,0.00,6.774,0.20,34.834,1.05,63.068,1.79,16.398,0.29,222.578,2.98,0.000,0.00,31.814,0.57,330.533,-0.49,166.534,0.38,46.662,0.86,64.383,1.31,30.694,0.49,36.406,0.79,0.000,0.00,53.798,1.17,76.630,1.76,180.049,2.00,39.477,0.89,24.426,0.60,0.000,0.00,0.000,0.00
