,,,Totals, ,01/03/22, ,01/04/22, ,01/05/22, ,01/06/22, ,01/07/22, ,01/08/22, ,01/09/22, ,01/10/22, ,01/11/22, ,01/12/22, ,01/01/23, ,01/02/23, ,01/03/23, ,01/04/23, ,01/05/23, ,01/06/23, ,01/07/23, ,01/08/23, ,01/09/23, ,01/10/23, ,01/11/23, ,01/12/23, ,01/01/24, ,01/02/24, ,01/03/24, ,01/04/24, ,01/05/24, ,01/06/24, ,01/07/24, ,01/08/24, ,01/09/24, ,01/10/24, ,01/11/24, ,01/12/24, ,01/01/25, ,01/02/25, ,01/03/25, ,01/04/25, ,01/05/25, ,01/06/25, ,01/07/25, ,01/08/25, ,01/09/25, ,01/10/25, ,01/11/25, ,01/12/25, ,01/01/26, ,01/02/26, ,01/03/26, ,01/04/26, 
Product Code,Product Description,Department,< Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%),Sales Quantity,GP Ratio (%)
63470, PORK SHOULDER BRAAI CHOPS,2,3 483.365,1.49,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,262.092,2.10,621.651,5.80,314.018,6.22,434.515,9.12,617.486,9.30,274.798,8.95,373.590,8.10,404.801,9.07,180.414,8.56
34172,BULK BEEF SIRLOIN,2,3 262.594,1.82,17.939,0.92,54.568,1.27,21.899,1.40,18.201,1.12,59.452,2.27,54.074,2.05,38.600,1.46,33.920,1.44,35.262,1.51,52.263,1.40,42.556,2.32,42.751,2.51,69.979,2.65,56.223,1.83,40.097,2.42,37.146,2.36,52.426,1.11,59.952,1.62,76.526,2.04,59.471,2.51,60.476,2.21,73.162,1.94,65.048,3.17,46.959,1.73,73.489,1.47,59.021,1.86,30.458,1.59,37.222,1.01,59.031,1.15,77.710,1.49,125.915,0.45,190.347,2.22,166.983,2.53,111.654,2.56,62.914,2.09,91.317,1.96,73.882,1.97,90.663,2.06,74.308,2.71,60.750,2.65,57.002,2.40,45.086,1.34,51.464,1.64,64.202,1.34,76.630,1.61,61.267,1.33,67.985,0.44,132.182,0.67,115.669,1.85,36.493,3.74
61155,DELICO SALAMI STICKS 2'S,2,3 213.000,0.38,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,23.000,0.10,340.000,1.33,263.000,1.13,75.000,0.32,120.000,0.66,117.000,0.53,248.000,1.07,266.000,1.46,293.000,1.43,276.000,1.30,294.000,0.87,275.000,1.41,253.000,1.79,254.000,1.86,116.000,1.64
46061,BULK FARMHOUSE WORS,2,3 081.847,0.79,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,16.936,0.31,21.724,0.46,2.306,0.05,119.402,0.78,103.984,1.34,78.542,0.97,113.414,1.09,118.813,1.14,67.709,1.09,67.803,0.96,90.604,0.78,127.784,0.60,116.622,0.91,87.646,0.50,101.396,0.80,198.108,1.43,56.346,0.87,132.764,2.16,89.486,1.09,98.840,1.67,140.439,2.03,119.097,1.80,124.268,1.96,162.040,2.20,145.939,2.16,88.052,1.44,95.081,1.23,158.858,2.18,66.100,1.45,65.504,1.27,56.398,0.98,49.180,0.85,0.662,0.01,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
34198,BULK B/VALE SPAR BOEREWORS,2,3 054.330,1.31,49.724,1.57,60.744,1.44,61.288,1.67,61.596,1.73,79.658,1.76,64.482,1.49,73.910,1.52,39.656,0.98,63.451,1.62,101.406,1.55,67.062,2.03,46.924,1.50,46.786,1.16,66.790,1.51,40.115,1.48,43.716,1.61,87.766,2.09,61.690,1.49,68.800,1.42,61.280,1.38,67.406,1.47,154.172,2.33,60.147,1.80,49.708,1.26,68.348,1.32,51.252,1.20,78.326,1.57,87.472,1.83,66.424,1.45,80.674,1.52,75.316,1.41,61.316,1.11,22.944,0.34,81.720,1.08,65.172,1.39,72.372,1.36,3.792,0.06,0.000,0.00,6.886,0.11,37.236,0.75,47.476,1.13,75.513,1.54,50.404,1.18,76.049,1.48,67.909,1.55,101.669,1.65,69.082,1.63,63.313,1.43,52.844,0.97,12.544,0.45
34283,BULK PORK BRAAI CHOPS,2,2 976.970,0.78,12.272,0.07,0.000,0.00,39.732,0.23,41.791,0.36,53.632,0.70,49.388,0.42,0.000,0.00,37.736,0.63,23.294,0.56,0.000,0.00,17.378,0.21,43.039,0.94,0.000,0.00,0.000,0.00,86.250,0.17,27.362,0.05,71.490,0.12,59.566,0.31,1.888,0.01,4.300,0.05,132.239,2.66,25.274,0.35,0.000,0.00,0.000,0.00,20.204,-0.24,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,414.240,4.57,322.337,5.70,368.536,5.76,476.196,4.44,648.826,5.54,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
52186,BULK GROUND BEEF,2,2 812.560,0.88,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,4.950,0.10,11.548,0.17,5.628,0.07,17.770,0.20,43.260,0.39,57.556,0.67,29.824,0.37,59.803,0.55,45.526,0.37,46.140,0.06,4.956,0.04,34.283,-0.07,16.420,0.10,8.916,0.09,80.865,0.73,31.784,0.30,50.545,0.50,96.410,0.81,39.874,0.35,169.316,1.53,137.346,1.24,74.998,0.61,131.656,1.72,93.336,1.08,93.744,0.97,74.870,1.26,156.586,2.85,116.350,3.43,85.763,2.33,139.416,1.83,100.810,1.62,142.182,1.89,120.872,1.90,128.074,1.29,99.356,1.35,117.545,1.86,88.844,1.36,55.438,1.65
63471,PORK RIB/LOIN CHOPS,2,2 741.040,1.09,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,158.784,1.38,334.749,6.08,340.182,5.10,454.464,4.19,452.597,5.92,368.864,5.25,223.421,6.49,270.445,7.61,137.534,9.31
34949,B/VALE SPAR BOEREWORS,2,2 546.524,1.48,56.544,2.51,50.088,1.85,38.336,1.63,49.702,2.18,56.268,1.94,51.560,1.85,42.916,1.37,53.973,1.84,65.104,2.10,127.084,2.47,71.304,2.90,35.564,1.65,42.860,1.55,50.274,1.71,35.671,1.73,49.556,2.38,68.895,1.98,54.398,1.61,60.800,1.54,80.264,2.21,69.695,2.16,87.146,1.99,40.192,1.65,53.172,1.60,71.592,1.64,46.334,1.28,68.810,1.63,60.138,1.49,60.674,1.57,52.342,1.17,52.048,1.28,43.860,1.18,18.236,0.40,50.092,0.94,62.772,1.89,68.128,1.81,3.624,0.09,0.000,0.00,7.252,0.15,18.272,0.47,34.338,1.29,66.459,2.00,29.182,0.92,52.117,1.39,69.151,2.10,75.349,1.63,41.383,1.33,53.977,1.70,34.392,0.93,14.636,0.77
14926,BRITOS BACK BACON,2,2 437.000,0.38,65.000,0.62,58.000,0.49,105.000,1.03,130.000,1.31,133.000,1.02,137.000,1.09,143.000,1.13,140.000,1.29,127.000,1.14,73.000,0.53,24.000,0.35,21.000,0.29,65.000,0.72,65.000,0.71,36.000,0.44,27.000,0.31,24.000,0.23,14.000,0.10,32.000,0.21,66.000,0.47,34.000,0.26,44.000,0.30,22.000,0.25,18.000,0.20,42.000,0.36,61.000,0.63,62.000,0.56,33.000,0.30,48.000,0.55,20.000,0.20,14.000,0.14,17.000,0.18,21.000,0.18,29.000,0.17,22.000,0.20,23.000,0.18,41.000,0.29,31.000,0.22,20.000,0.12,22.000,0.16,27.000,0.18,32.000,0.20,24.000,0.20,56.000,0.39,56.000,0.38,57.000,0.27,18.000,0.13,26.000,0.21,22.000,0.17,10.000,0.15
34211,FARMHOUSE WORS,2,2 416.263,0.93,90.822,0.88,17.564,0.47,3.314,0.10,60.817,1.56,150.135,2.89,0.000,0.00,29.288,0.52,81.975,1.66,22.183,0.44,66.616,0.98,89.671,2.47,73.174,2.26,113.516,2.51,90.579,2.41,48.094,1.51,44.273,1.31,60.860,1.37,66.530,1.04,61.779,1.16,84.098,1.31,63.765,1.35,98.670,1.49,50.860,1.37,80.344,1.88,55.415,0.90,59.405,1.18,88.130,1.45,82.536,1.60,58.336,1.25,98.240,1.81,69.652,1.39,49.572,1.07,54.458,1.02,67.420,1.15,46.770,1.27,67.782,1.63,43.334,0.93,26.286,0.61,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
34271,PETS MINCE,2,2 381.580,0.41,60.584,0.77,82.000,0.95,86.506,1.15,47.006,0.64,45.186,0.49,30.658,0.34,22.396,0.22,9.280,0.10,14.994,0.17,6.752,0.05,12.682,0.17,16.320,0.21,21.106,0.21,46.598,0.46,113.120,1.27,86.980,0.94,58.534,0.55,114.980,1.17,43.814,0.38,63.528,0.60,65.356,0.60,37.794,0.24,48.436,0.52,13.402,0.14,21.464,0.17,45.324,0.44,8.718,0.07,73.204,0.63,49.472,0.45,40.046,0.31,33.578,0.27,17.138,0.14,57.486,0.39,20.544,0.11,33.778,0.28,23.282,0.17,13.350,0.09,50.004,0.33,63.998,0.39,59.400,0.39,64.732,0.41,73.656,0.44,54.256,0.42,70.972,0.48,80.318,0.58,47.840,0.25,72.736,0.58,55.940,0.50,66.200,0.55,36.132,0.58
58340,YOH FLAVA CHICKEN,2,2 317.000,0.12,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,31.000,0.08,48.000,0.11,64.000,0.16,85.000,0.21,123.000,0.25,88.000,0.14,84.000,0.21,78.000,0.17,85.000,0.17,67.000,0.13,136.000,0.25,169.000,0.33,115.000,0.22,145.000,0.26,164.000,0.38,139.000,0.28,173.000,0.37,103.000,0.16,145.000,0.35,113.000,0.30,109.000,0.27,53.000,0.26
34383,BBQ 6 GUN GRILL,2,2 294.000,0.35,48.000,0.49,52.000,0.49,76.000,0.82,122.000,1.35,72.000,0.63,75.000,0.68,69.000,0.60,72.000,0.71,34.000,0.33,50.000,0.30,49.000,0.58,61.000,0.69,31.000,0.27,50.000,0.45,43.000,0.44,32.000,0.31,47.000,0.41,26.000,0.24,45.000,0.36,46.000,0.40,49.000,0.41,75.000,0.44,46.000,0.45,27.000,0.26,67.000,0.49,51.000,0.45,57.000,0.43,25.000,0.20,25.000,0.21,31.000,0.22,47.000,0.35,44.000,0.35,39.000,0.24,37.000,0.18,19.000,0.15,41.000,0.30,34.000,0.22,47.000,0.31,33.000,0.18,43.000,0.26,26.000,0.15,40.000,0.21,31.000,0.21,29.000,0.18,38.000,0.24,34.000,0.15,48.000,0.59,50.000,0.43,44.000,0.36,17.000,0.27
34206,BULK SIRLOIN MATURED,2,2 249.243,1.20,136.762,4.77,154.996,4.00,71.572,4.60,65.446,4.30,107.383,4.18,79.450,3.26,137.818,4.76,54.956,3.19,53.518,3.42,121.848,4.34,82.877,3.65,82.453,2.92,94.394,2.25,62.081,1.32,63.267,2.75,61.555,2.37,52.330,0.47,87.444,1.26,34.528,0.52,53.180,1.65,79.876,2.35,142.698,2.35,60.924,1.64,76.187,1.61,56.521,0.79,24.908,0.79,42.821,1.35,55.874,1.69,51.576,0.61,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
41260,BULK PORK BRAAI CHOPS,2,2 223.420,0.74,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,170.928,3.33,272.733,4.62,451.578,5.45,572.911,8.35,502.215,7.58,253.055,3.16,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
34235,GROUND BEEF,2,2 216.517,0.89,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,9.541,0.14,62.955,0.82,63.888,0.98,59.170,0.87,59.911,1.77,40.317,1.13,25.510,0.72,40.870,0.57,21.648,0.41,19.192,0.35,46.061,0.43,19.563,0.23,17.975,0.18,80.254,0.71,71.469,0.73,11.917,0.05,25.592,0.15,11.036,0.10,24.722,0.33,25.590,0.40,13.648,0.24,22.876,0.42,3.740,0.07,26.908,0.45,28.022,0.49,68.023,1.08,86.848,1.09,57.326,0.59,104.256,1.73,50.002,0.73,69.895,0.92,41.220,0.95,98.975,2.43,77.351,2.71,54.586,1.86,92.401,1.59,64.802,1.26,114.191,1.87,91.234,1.73,77.437,1.09,64.680,1.42,66.218,1.66,70.246,1.69,34.451,1.61
32041,1/4 LAMB,2,2 160.368,1.26,139.704,3.09,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,12.374,0.04,31.180,0.69,62.520,1.68,112.736,2.02,0.000,0.00,22.646,0.61,5.110,0.13,27.038,0.78,28.783,0.61,23.304,0.62,43.648,1.16,47.364,1.19,59.844,1.29,26.734,0.63,19.636,0.84,203.210,3.64,41.254,1.04,47.765,0.85,94.126,1.81,51.956,1.25,72.086,1.33,50.434,1.17,0.000,0.00,24.328,0.61,39.420,1.03,65.766,1.65,39.464,0.75,205.498,3.56,44.268,1.61,25.500,0.95,24.720,0.97,15.630,0.61,22.300,0.90,20.035,0.60,14.242,0.41,49.126,1.68,0.000,0.00,42.340,1.61,100.557,3.98,136.910,4.76,32.330,1.76,11.332,0.52,17.090,0.69,6.060,0.48
12330,T&T WORS BACON & CHEESE,2,2 086.000,0.47,74.000,0.81,47.000,0.37,66.000,0.95,32.000,0.48,37.000,0.43,39.000,0.50,60.000,0.81,70.000,1.05,71.000,1.00,86.000,0.76,58.000,0.84,57.000,0.60,39.000,0.51,56.000,0.74,44.000,0.61,40.000,0.62,27.000,0.39,20.000,0.30,46.000,0.59,33.000,0.44,27.000,0.35,38.000,0.34,38.000,0.52,35.000,0.55,52.000,0.74,29.000,0.51,29.000,0.40,40.000,0.40,43.000,0.48,50.000,0.26,40.000,0.31,42.000,0.22,27.000,0.29,101.000,0.58,24.000,0.48,20.000,0.35,30.000,0.47,35.000,0.30,22.000,0.11,27.000,0.14,36.000,0.32,34.000,0.32,30.000,0.35,19.000,0.21,24.000,0.38,64.000,0.62,24.000,0.35,28.000,0.45,44.000,0.55,32.000,0.41
34304,SPICED BONES,2,2 080.034,0.25,82.182,0.73,74.457,0.60,116.365,1.08,49.999,0.48,63.682,0.48,78.470,0.61,62.958,0.44,31.803,0.25,22.199,0.17,36.620,0.17,80.947,0.76,31.690,0.28,43.049,0.30,23.178,0.16,26.601,0.21,24.305,0.18,27.976,0.19,51.682,0.37,72.299,0.44,74.480,0.49,44.392,0.28,36.825,0.16,25.991,0.19,82.590,0.60,55.309,0.31,58.999,0.40,38.611,0.22,25.340,0.15,50.781,0.32,29.542,0.16,40.413,0.23,40.644,0.24,39.638,0.19,34.792,0.13,56.877,0.33,16.776,0.09,23.323,0.11,21.917,0.10,31.974,0.13,21.273,0.10,7.140,0.03,5.054,0.02,22.726,0.12,19.492,0.09,20.511,0.10,23.724,0.08,26.329,0.15,27.469,0.17,54.065,0.31,22.575,0.26
45416, KASEGRILLER M/CLUB,2,1 994.169,1.07,38.187,1.37,15.704,0.52,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,16.394,0.47,54.902,1.56,50.612,2.13,54.408,2.22,69.796,1.85,70.070,1.96,62.554,1.50,64.478,1.68,77.506,1.75,70.374,1.13,64.347,1.47,61.934,1.57,66.782,1.44,63.198,1.65,60.440,1.35,46.577,1.35,52.160,1.82,38.240,1.15,56.522,1.53,59.546,1.39,71.222,1.53,57.412,0.89,44.866,1.43,48.902,1.38,44.996,1.13,43.982,1.07,43.606,0.99,39.740,0.96,41.447,0.97,45.134,0.98,39.748,0.86,45.752,0.93,42.113,1.11,47.691,0.95,24.298,0.70,55.851,1.73,34.036,0.93,8.642,0.46
34205,BULK RUMP MATURED,2,1 973.247,1.17,42.232,2.82,77.703,2.57,40.691,2.78,65.742,4.30,50.664,2.83,33.384,1.94,35.112,1.82,30.998,1.99,56.242,2.98,47.702,1.52,32.970,1.29,59.658,0.59,45.260,0.77,44.410,0.91,35.487,1.22,47.766,1.68,75.273,1.14,38.835,0.50,56.341,0.66,24.314,0.87,37.969,1.08,47.106,0.87,55.817,1.84,30.326,0.66,28.312,0.70,36.299,0.78,44.698,1.82,42.133,1.28,52.234,-0.74,67.089,2.09,64.351,1.07,47.112,1.05,42.501,1.06,27.015,0.69,37.685,1.45,18.554,0.59,23.110,0.77,29.852,0.91,19.061,0.81,22.553,1.12,5.400,0.27,31.316,1.37,31.423,2.31,29.625,1.07,19.106,0.68,17.350,0.54,31.230,1.01,45.800,-0.09,37.298,0.25,10.138,0.84
54562,SPAR T&T P/BELLY RIB 1KG S&STK,2,1 907.000,0.68,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,32.000,0.46,22.000,0.55,51.000,0.77,122.000,1.39,47.000,1.23,16.000,0.55,37.000,1.01,32.000,1.25,39.000,0.72,33.000,0.99,25.000,0.87,50.000,0.74,15.000,0.30,20.000,0.34,52.000,0.90,109.000,0.81,88.000,1.08,110.000,1.31,96.000,1.03,70.000,0.91,71.000,0.80,48.000,0.64,101.000,1.27,71.000,1.15,75.000,1.26,65.000,0.88,55.000,1.75,129.000,1.28,71.000,0.92,52.000,1.02,75.000,0.85,28.000,0.80
47251,BULK  KASEGRILLER M/CLUB,2,1 894.909,0.73,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,25.488,0.46,43.984,1.55,31.846,1.08,62.174,1.42,72.956,1.73,62.704,1.28,53.600,1.19,67.421,1.46,74.085,0.78,58.689,0.81,74.311,1.29,64.974,0.86,62.112,0.99,79.360,1.08,69.851,1.47,57.730,1.46,54.574,1.19,49.052,0.91,81.376,1.19,71.267,1.11,49.760,0.93,47.254,1.09,51.334,1.05,45.194,0.83,40.670,0.51,49.578,0.41,44.495,0.51,38.942,0.60,39.176,0.57,29.999,0.40,38.690,0.54,35.746,0.64,53.999,0.78,30.878,0.64,53.676,1.24,21.952,0.49,6.012,0.26
44670, BULK YSTERHOUT BRAAIWORS,2,1 875.582,0.42,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,94.639,1.41,118.880,1.76,61.828,1.71,62.604,1.77,79.064,1.49,95.476,1.65,79.570,1.18,56.956,0.92,79.631,1.34,76.284,0.48,0.000,0.00,0.000,0.00,30.255,0.20,179.078,1.46,115.453,0.81,98.145,0.72,73.060,0.56,89.349,0.59,85.570,0.59,48.454,0.53,57.968,0.74,60.026,0.34,87.159,0.80,46.529,0.38,71.922,0.52,27.682,0.26,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
46386,SIX GUN GRILL BURGER,2,1 766.596,0.77,86.000,0.96,32.000,0.32,52.000,0.60,41.000,0.49,77.000,0.73,129.000,1.27,84.000,0.83,26.150,0.97,27.576,1.02,43.496,0.97,18.600,0.82,23.540,0.98,9.657,0.30,0.000,0.00,16.640,0.55,6.844,0.22,11.325,0.30,50.873,0.99,60.345,1.00,58.654,1.06,57.194,0.99,61.439,1.06,39.712,1.08,28.390,0.86,27.451,0.64,28.020,0.78,0.000,0.00,0.000,0.00,28.502,0.75,18.142,0.41,14.149,0.33,25.594,0.62,56.649,1.19,55.608,0.97,47.983,1.34,15.074,0.37,45.248,1.00,27.638,0.61,14.745,0.30,77.963,2.52,26.908,0.98,48.803,1.23,29.680,0.97,60.770,1.71,2.794,0.08,2.752,0.06,12.352,0.39,28.834,1.03,29.502,0.98,0.000,0.00
14923,BRITOS PRIME CUT BACON,2,1 765.000,0.29,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,11.000,0.10,64.000,0.59,58.000,0.39,18.000,0.27,20.000,0.29,36.000,0.40,28.000,0.31,57.000,0.72,54.000,0.65,42.000,0.41,13.000,0.11,36.000,0.27,39.000,0.33,30.000,0.23,48.000,0.24,47.000,0.39,32.000,0.26,68.000,0.43,49.000,0.37,53.000,0.34,79.000,0.54,40.000,0.45,33.000,0.32,65.000,0.66,45.000,0.47,50.000,0.42,12.000,0.07,18.000,0.17,33.000,0.27,33.000,0.24,28.000,0.20,21.000,0.14,41.000,0.30,29.000,0.20,38.000,0.25,27.000,0.23,29.000,0.22,28.000,0.16,53.000,0.21,75.000,0.47,67.000,0.46,84.000,0.54,34.000,0.43
54428,OOM FREDDIE SPRINKLE,2,1 631.000,0.11,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,19.000,-0.54,28.000,-0.03,48.000,0.19,54.000,0.15,18.000,0.08,47.000,0.21,23.000,0.08,20.000,0.08,49.000,0.18,26.000,0.10,24.000,0.09,81.000,0.27,38.000,0.13,74.000,0.27,70.000,0.21,47.000,0.11,57.000,0.21,69.000,0.22,62.000,0.18,77.000,0.22,81.000,0.21,65.000,0.18,65.000,0.18,70.000,0.18,45.000,0.15,72.000,0.21,60.000,0.19,68.000,0.15,58.000,0.20,40.000,0.15,48.000,0.17,28.000,0.20
44671,YSTERHOUT BRAAIWORS,2,1 585.561,0.50,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,98.442,1.51,102.019,1.53,50.853,1.56,62.760,1.76,89.493,1.54,90.096,1.38,86.095,1.13,63.591,0.91,96.743,1.42,78.297,0.90,0.000,0.00,0.000,0.00,30.108,0.32,84.467,1.03,101.021,1.80,75.833,1.41,49.737,0.97,67.059,1.12,42.863,0.75,31.232,0.70,35.839,0.76,47.297,0.40,66.588,0.90,23.284,0.28,78.445,0.84,33.399,0.50,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
