Department No,Department Name,"Sub-
Dept.",Sub Department,Date,Opening Stock at CP,Purchases at CP,IDTs,Stock Adjustments at CP,Waste Adjustments at CP,Recipe Auto Produce at CP,Waste to Sales %,Sales at Cost,S.Take Var to Fin Stock,Fin S.Take Var to Sales %,Theo. Fin Closing Stock,Actual Stock at CP (Products),Theo to Act Difference CP,Stock Variance (Last Stock Take) at CP,Act S.Take Var to Sales %,Sales Excl. VAT,Front End GP%,Actual Fin GP%,Calc Cost of Sales,Calc GP R,Sales Excl. VAT (%),Stock Days CP
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/03/10,5 507.90,9 790.37,-247.18,0.00,-111.38,0.00,-0.28,-21 198.52,14 412.89,36.29,8 711.30,-7 492.17,-15 646.26,15 709.59,0.00,39 712.51,46.62,82.63,6 897.01,32 815.50,0.14,2.69
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/03/17,8 154.08,10 659.83,-111.00,0.00,-682.26,0.00,-1.96,-17 936.45,12 846.89,36.85,12 931.09,-2 157.39,-15 088.49,15 212.71,0.00,34 860.38,48.55,83.44,5 771.82,29 088.56,0.12,5.05
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/03/24,12 931.09,7 067.85,-470.82,0.00,-468.20,0.00,-1.13,-22 314.53,17 635.47,42.49,16 052.52,-3 030.38,-17 411.23,17 487.52,0.00,41 508.27,46.24,87.60,5 147.27,36 361.01,0.15,4.51
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/03/31,14 380.86,8 420.68,-612.82,0.00,-184.97,0.00,-0.53,-17 698.74,11 814.91,34.16,16 677.14,2 989.12,-13 130.80,13 197.40,0.00,34 585.32,48.83,82.45,6 068.80,28 516.52,0.12,6.38
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/04/07,16 119.92,8 395.67,-194.18,0.00,-571.76,0.00,-1.81,-16 875.56,9 246.68,29.29,16 120.78,5 617.63,-10 503.14,10 503.14,0.00,31 566.44,46.54,74.02,8 200.64,23 365.80,0.11,6.69
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/04/14,16 120.77,11 359.05,-301.58,0.00,-971.12,0.00,-2.97,-17 935.08,10 259.11,31.41,19 088.37,10 537.25,-7 993.91,7 993.91,0.00,32 660.56,45.09,73.52,8 647.08,24 013.48,0.12,7.23
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/04/21,18 531.15,949.29,-173.89,0.00,-648.95,0.00,-1.85,-18 794.18,11 119.88,31.65,10 983.30,-1 162.59,-12 145.89,12 183.61,0.00,35 138.55,46.51,76.31,8 323.25,26 815.30,0.12,4.09
1,BAKERY,101,BAKERY MANUFACTURING BREADS,2025/04/28,10 983.30,6 490.69,-144.30,0.00,-352.54,0.00,-1.08,-16 878.72,14 109.68,43.21,14 765.32,-924.58,-15 132.68,15 211.60,0.00,32 651.63,48.31,90.44,3 121.58,29 530.05,0.12,5.89
1,BAKERY,102,BAKERY CONFECTIONARY,2024/12/30,13 330.52,4 408.39,0.00,0.00,-249.13,0.00,-1.77,-8 062.52,4 738.90,33.65,14 166.16,9 426.70,-4 739.47,4 739.47,0.00,14 083.27,42.75,74.63,3 572.75,10 510.52,0.05,12.30
1,BAKERY,102,BAKERY CONFECTIONARY,2025/01/06,14 166.16,3 705.19,0.00,0.00,-1 049.15,0.00,-6.51,-9 086.15,3 454.43,21.44,11 190.48,7 735.57,-3 454.91,3 454.91,0.00,16 115.42,43.62,58.54,6 680.87,9 434.55,0.06,8.62
1,BAKERY,102,BAKERY CONFECTIONARY,2025/01/13,11 190.48,6 712.84,0.00,0.00,-902.26,0.00,-7.03,-7 258.08,6 172.40,48.09,15 915.38,9 742.66,-6 172.72,6 172.72,0.00,12 835.96,43.46,84.51,1 987.94,10 848.02,0.05,15.35
1,BAKERY,102,BAKERY CONFECTIONARY,2025/01/20,15 915.38,3 344.40,0.00,0.00,-546.87,0.00,-4.18,-7 597.09,-1 634.42,-12.50,9 481.40,11 036.41,1 555.02,-1 555.02,0.00,13 071.34,41.88,25.19,9 778.39,3 292.95,0.05,8.74
1,BAKERY,102,BAKERY CONFECTIONARY,2025/01/27,9 481.40,5 210.97,0.00,0.00,-597.17,0.00,-3.73,-8 885.32,5 151.26,32.18,10 361.13,5 209.85,-5 151.28,5 151.28,0.00,16 007.43,44.49,72.94,4 331.23,11 676.19,0.06,8.16
1,BAKERY,102,BAKERY CONFECTIONARY,2025/02/03,10 361.13,5 579.07,0.00,0.00,-63.00,0.00,-0.35,-9 793.59,2 023.61,11.18,8 107.23,6 083.05,-2 024.18,2 024.18,0.00,18 096.58,45.88,56.72,7 832.98,10 263.61,0.06,5.79
1,BAKERY,102,BAKERY CONFECTIONARY,2025/02/10,8 107.23,6 608.88,0.00,0.00,-281.80,0.00,-1.84,-8 205.24,3 599.02,23.52,9 828.09,6 228.73,-3 599.37,3 599.37,0.00,15 299.80,46.37,68.05,4 888.02,10 411.78,0.05,8.38
1,BAKERY,102,BAKERY CONFECTIONARY,2025/02/17,9 828.09,6 802.67,0.00,0.00,-1 167.24,0.00,-8.80,-7 240.04,1 694.39,12.77,9 917.87,8 222.98,-1 694.89,1 694.89,0.00,13 263.58,45.41,49.39,6 712.89,6 550.69,0.05,9.59
1,BAKERY,102,BAKERY CONFECTIONARY,2025/02/24,9 917.87,6 758.34,0.00,0.00,-583.37,0.00,-3.00,-10 918.26,918.80,4.73,6 093.38,5 031.49,-1 061.89,1 061.89,0.00,19 433.50,43.82,45.54,10 582.83,8 850.67,0.07,3.91
1,BAKERY,102,BAKERY CONFECTIONARY,2025/03/03,6 093.38,7 146.93,0.00,0.00,-415.70,0.00,-2.67,-8 501.12,4 249.07,27.30,8 572.56,4 316.55,-4 256.01,4 256.01,0.00,15 562.17,45.37,70.01,4 667.75,10 894.41,0.06,7.06
1,BAKERY,102,BAKERY CONFECTIONARY,2025/03/10,8 572.56,5 350.56,-11.37,0.00,-195.29,0.00,-1.33,-8 144.17,1 879.90,12.76,7 452.19,5 645.72,-1 806.47,1 880.39,0.00,14 727.97,44.70,56.14,6 459.56,8 268.42,0.05,6.41
1,BAKERY,102,BAKERY CONFECTIONARY,2025/03/17,7 452.19,5 174.89,0.00,0.00,-172.00,0.00,-1.23,-7 836.00,4 694.91,33.66,9 313.99,4 628.98,-4 685.01,4 695.24,0.00,13 949.10,43.82,76.25,3 313.09,10 636.01,0.05,8.32
1,BAKERY,102,BAKERY CONFECTIONARY,2025/03/24,9 313.99,6 650.62,-61.38,0.00,-138.77,0.00,-0.72,-11 130.38,3 839.11,19.99,8 473.19,4 555.42,-3 917.77,3 917.77,0.00,19 208.25,42.05,61.32,7 430.04,11 778.21,0.07,5.33
1,BAKERY,102,BAKERY CONFECTIONARY,2025/03/31,8 473.19,8 501.64,-4.14,0.00,-174.00,0.00,-0.96,-10 908.75,4 558.78,25.03,10 764.05,6 281.93,-4 164.79,4 241.79,0.00,18 210.60,40.10,64.17,6 523.97,11 686.63,0.06,6.70
1,BAKERY,102,BAKERY CONFECTIONARY,2025/04/07,10 446.72,7 697.65,0.00,0.00,-566.14,0.00,-3.73,-8 515.89,5 304.74,34.93,14 864.78,9 537.40,-4 829.68,4 829.68,0.00,15 185.51,43.92,75.13,3 777.29,11 408.22,0.05,11.81
1,BAKERY,102,BAKERY CONFECTIONARY,2025/04/14,14 367.08,9 299.97,-61.38,0.00,-540.38,0.00,-3.16,-9 663.55,2 224.89,13.01,15 943.96,14 055.15,-1 571.47,1 907.90,0.00,17 101.31,43.49,53.34,7 979.05,9 122.27,0.06,11.32
1,BAKERY,102,BAKERY CONFECTIONARY,2025/04/21,15 626.63,4 898.42,-30.69,0.00,-605.49,0.00,-4.00,-8 290.96,6 487.76,42.83,18 085.67,11 641.11,-6 444.56,6 488.16,0.00,15 146.36,45.26,84.10,2 408.69,12 737.67,0.05,15.27
1,BAKERY,102,BAKERY CONFECTIONARY,2025/04/28,18 085.67,6 721.87,0.00,0.00,-1 957.43,0.00,-12.29,-8 705.71,595.34,3.74,15 057.07,14 491.49,-248.26,278.04,0.00,15 921.53,45.32,36.77,10 067.80,5 853.73,0.06,11.85
1,BAKERY,103,BAKERY INGREDIENTS,2024/12/30,5 319.33,0.00,0.00,0.00,0.00,0.00,0.00,-255.53,-40.12,-9.12,5 023.68,5 063.80,40.12,-40.12,0.00,439.80,41.90,32.78,295.65,144.15,0.00,137.62
1,BAKERY,103,BAKERY INGREDIENTS,2025/01/06,5 023.68,274.14,0.00,0.00,0.00,0.00,0.00,-277.23,7 336.27,1 564.70,12 356.86,5 020.59,-7 336.27,7 336.27,0.00,468.86,40.87,1 605.57,-7 059.04,7 527.90,0.00,312.01
1,BAKERY,103,BAKERY INGREDIENTS,2025/01/13,12 356.86,562.99,0.00,0.00,-34.27,0.00,-8.82,-228.22,-4 121.20,-1 060.74,8 536.15,12 351.17,3 815.01,-3 815.01,0.00,388.52,41.26,-1 028.30,4 383.69,-3 995.17,0.00,261.82
1,BAKERY,103,BAKERY INGREDIENTS,2025/01/20,8 536.15,0.00,0.00,0.00,-72.68,0.00,-49.68,-85.38,5 051.01,3 452.40,13 429.10,8 296.29,-5 132.81,5 132.81,0.00,146.30,41.64,3 444.36,-4 892.95,5 039.25,0.00,1 101.00
1,BAKERY,103,BAKERY INGREDIENTS,2025/01/27,13 429.10,0.00,0.00,0.00,0.00,0.00,0.00,-222.20,-913.22,-239.39,12 293.68,13 306.46,1 012.78,-1 012.78,0.00,381.48,41.75,-197.64,1 135.42,-753.94,0.00,387.29
1,BAKERY,103,BAKERY INGREDIENTS,2025/02/03,12 293.68,0.00,0.00,0.00,0.00,0.00,0.00,-222.20,-2 680.91,-701.01,9 390.57,12 078.09,2 687.53,-2 687.53,0.00,382.43,41.90,-659.11,2 903.11,-2 520.68,0.00,295.83
1,BAKERY,103,BAKERY INGREDIENTS,2025/02/10,9 390.57,257.08,0.00,0.00,0.00,0.00,0.00,-159.55,-2 993.77,-1 122.32,6 494.33,9 370.55,2 876.22,-2 876.22,0.00,266.75,40.19,-1 082.14,3 153.32,-2 886.57,0.00,284.92
1,BAKERY,103,BAKERY INGREDIENTS,2025/02/17,6 494.33,0.00,0.00,0.00,-33.33,0.00,-21.93,-88.88,-3 426.80,-2 254.22,2 945.31,6 372.12,3 426.81,-3 426.80,0.00,152.02,41.53,-2 234.61,3 549.01,-3 397.00,0.00,231.97
1,BAKERY,103,BAKERY INGREDIENTS,2025/02/24,2 945.31,0.00,0.00,0.00,0.00,0.00,0.00,-121.03,1 396.05,674.73,4 220.32,2 824.28,-1 396.05,1 396.05,0.00,206.90,41.50,716.23,-1 275.01,1 481.92,0.00,244.08
1,BAKERY,103,BAKERY INGREDIENTS,2025/03/03,4 220.32,0.00,0.00,0.00,0.00,0.00,0.00,-99.99,5 156.66,3 030.07,9 276.99,4 156.17,-5 120.82,5 120.83,0.00,170.18,41.25,3 071.32,-5 056.67,5 226.85,0.00,649.45
1,BAKERY,103,BAKERY INGREDIENTS,2025/03/10,9 276.99,477.94,0.00,0.00,0.00,0.00,0.00,-99.99,-1 291.99,-750.74,8 362.95,9 625.80,1 262.85,-1 262.85,0.00,172.10,41.90,-708.84,1 391.98,-1 219.88,0.00,585.47
1,BAKERY,103,BAKERY INGREDIENTS,2025/03/17,8 362.95,0.00,0.00,0.00,0.00,0.00,0.00,-5.12,-2 411.30,-28 209.47,5 946.53,8 357.83,2 411.30,-2 411.30,0.00,8.55,40.05,-28 169.41,2 416.42,-2 407.87,0.00,8 123.68
1,BAKERY,103,BAKERY INGREDIENTS,2025/03/24,5 946.53,717.22,0.00,0.00,0.00,0.00,0.00,-150.03,-210.80,-83.28,6 302.93,6 463.76,160.83,-160.83,0.00,253.13,40.73,-42.54,360.82,-107.69,0.00,294.09
1,BAKERY,103,BAKERY INGREDIENTS,2025/03/31,6 302.93,1 308.05,0.00,0.00,0.00,0.00,0.00,0.00,-2 843.08,0.00,4 767.90,7 610.98,2 843.08,-2 843.08,0.00,0.00,0.00,0.00,2 843.08,-2 843.08,0.00,0.00
1,BAKERY,103,BAKERY INGREDIENTS,2025/04/07,4 767.90,620.20,0.00,0.00,0.00,0.00,0.00,0.00,-1 390.58,0.00,3 997.52,5 398.94,1 401.42,-1 401.42,0.00,0.00,0.00,0.00,1 390.58,-1 390.58,0.00,0.00
1,BAKERY,103,BAKERY INGREDIENTS,2025/04/14,3 997.52,0.00,0.00,0.00,0.00,0.00,0.00,-49.20,548.06,649.16,4 496.39,3 948.33,-548.06,548.06,0.00,84.43,41.73,690.88,-498.86,583.29,0.00,639.76
